feature_1,class
-36.04796,glioma
-40.546364,glioma
-38.369022,glioma
-36.496056,glioma
-47.738697,glioma
-46.08241,glioma
-40.79038,glioma
-41.88613,glioma
-32.08735,glioma
-42.49818,glioma
-40.914158,glioma
-34.967285,glioma
-38.554726,glioma
-41.359875,glioma
-39.304688,glioma
-41.78568,glioma
-40.941597,glioma
-39.660194,glioma
-48.546524,glioma
-51.631657,glioma
-52.889282,glioma
-56.48568,glioma
-42.882862,glioma
-43.29159,glioma
-42.726635,glioma
-42.033783,glioma
-42.722897,glioma
-47.671017,glioma
-50.418846,glioma
-29.41234,glioma
-34.794678,glioma
-38.838264,glioma
-35.07412,glioma
-36.862946,glioma
-27.620398,glioma
-28.561329,glioma
-34.939495,glioma
-38.475006,glioma
-35.041363,glioma
-30.549139,glioma
-38.68651,glioma
-38.252773,glioma
-35.945133,glioma
-40.636303,glioma
-49.54811,glioma
-51.59601,glioma
-49.42765,glioma
-50.44255,glioma
-38.11449,glioma
-37.25513,glioma
-37.501656,glioma
-29.439259,glioma
-40.57375,glioma
-32.758698,glioma
-38.469467,glioma
-43.972725,glioma
-37.453266,glioma
-42.08316,glioma
-50.127525,glioma
-34.866127,glioma
-38.24452,glioma
-37.379345,glioma
-43.41347,glioma
-39.907005,glioma
-35.76074,glioma
-37.76849,glioma
-42.664913,glioma
-43.78086,glioma
-42.017136,glioma
-42.553993,glioma
-47.303967,glioma
-41.75425,glioma
-45.48993,glioma
-37.71,glioma
-34.732964,glioma
-38.733883,glioma
-40.93633,glioma
-43.559036,glioma
-35.26682,glioma
-41.16613,glioma
-34.274193,glioma
-46.344612,glioma
-41.225655,glioma
-49.641674,glioma
-43.986996,glioma
-49.37903,glioma
-50.505207,glioma
-33.83542,glioma
-36.728924,glioma
-36.952156,glioma
-39.725372,glioma
-42.470287,glioma
-39.40828,glioma
-42.187008,glioma
-42.199833,glioma
-45.0928,glioma
-41.09354,glioma
-39.364662,glioma
-23.78985,glioma
-33.956345,glioma
-23.599808,glioma
-22.81545,glioma
-20.655304,glioma
-14.400236,glioma
-15.265416,glioma
-22.31531,glioma
-21.001785,glioma
-21.085634,glioma
-15.990731,glioma
-25.316761,glioma
-23.573118,glioma
-23.19813,glioma
-13.395395,glioma
-19.638937,glioma
-27.375713,glioma
-37.99037,glioma
-31.066095,glioma
-26.548353,glioma
-27.19914,glioma
-36.448265,glioma
-24.916197,glioma
-32.588852,glioma
-41.93141,glioma
-49.689663,glioma
-39.379105,glioma
-32.718304,glioma
-29.432407,glioma
-24.270357,glioma
-27.066753,glioma
-55.396347,glioma
-41.727844,glioma
-19.773525,glioma
-26.03822,glioma
-14.163075,glioma
-21.547918,glioma
-38.37224,glioma
-33.273724,glioma
-35.446133,glioma
-29.03057,glioma
-22.899124,glioma
-17.523184,glioma
-20.988739,glioma
